Sunday Best,Surfaces
Dollar,Electric Guest
OK,Wallows
Moon (And It Went Like),Kid Francescoli
Supalonely,BENEE
Honeypie,JAWNY
Little Things (with Quinn XCII & Chelsea Cutler),Louis The Child
For a Minute,WizTheMc
Chemicals,SG Lewis
Floating (feat. Khalid) [filous Remix],Alina Baraz
Purple Hat,Sofi Tukker
Borderline,Tame Impala
Butterflies,Fiji Blue
Tokyo Drifting (with Denzel Curry),Glass Animals
Rushing Back,Flume
Nirvana,ELLIANA
Group Therapy,Elohim
ROCKSTAR (feat. Roddy Ricch),DaBaby
Needs,Verzache
Make You Mine,PUBLIC
EARFQUAKE,"Tyler, The Creator"
Can I Call You Tonight?,Dayglow
Youuu,COIN
Nothing,SADBOii
Lose My Mind (feat. Mr Gabriel),Jai Wolf
Good Day,iann dior
Running Red Lights (feat. Rivers Cuomo & Pink Siifu),The Avalanches
Let Go Today,Shoffy
Potions,SLANDER
Imaginary Friends - St. Lucia Remix,Japanese Wallpaper
Sanctuary,Joji
THE SCOTTS,THE SCOTTS
Blueberry Faygo,Lil Mosey
Blinding Lights,The Weeknd
Toosie Slide,Drake
The Box,Roddy Ricch
GOOBA,6ix9ine
WHATS POPPIN,Jack Harlow
Party Girl,StaySolidRocky
Stuck with U (with Justin Bieber),Ariana Grande
Roses - Imanbek Remix,SAINt JHN
Savage Remix (feat. Beyoncé),Megan Thee Stallion
After Party,Don Toliver
Life Is Good (feat. Drake),Future
Righteous,Juice WRLD
Walk Em Down (feat. Roddy Ricch),NLE Choppa
death bed (coffee for your head) (feat. beabadoobee),Powfu
Flex (feat. Juice WRLD),Polo G
Circles,Post Malone
Sunday Best,Surfaces
Say So (feat. Nicki Minaj),Doja Cat
Intentions (feat. Quavo),Justin Beiber
Don't Start Now,Dua Lipa
Adore You,Harry Styles
Sea Change,Beck
Into the Unknown,Idina Menzel
Coaster,Khalid
Solitaires (feat. Travis Scott),Future
Chicago Freestyle (feat. Giveon),Drake
Supalonely,BENEE
Say So,Doja Cat
ROXANNE,Arizona Zervas
Falling,Trevor Daniel
Onthou,Ever So Blue
Gaze,Moux
Choices,Patricia Sevin
Alene uden dig,Tosh Moller
Solitude,Joep Beving
Vals De Rodrigues,Eric Badanti
Isla De Flores,Berlioz
Sagittabondo,Maura Bellucci
Whitby,Stephan Moccio
Des ponts plutot que des murs,Zdenek Lemelin
Continuo,Mauro Cangemi
Duende,Amity Fall
The Cottage,Pamela Goldings
Mere bien-aimee,Celine Aubin
Comforting,Albert Riqueti
Watching Over You,Jef Martens
Just Us,Geir Gudmundson
And I Always Will,Julien Thorsen
Theben,Oskar Schuster
Samarcande,Limestone Quarry
Con el tiempo todo se consigue,Claribel Ramon
Where's My Love - Piano Solo,SYML
N'abandonne pas,Libor Kolman
Finding Hope,Haakon Stange
Fracture,Stephan Moccio
Bellevue,Franz Becker
Aquatic,Sigrid Vass
I Remember,Rod Wave
Mrs.Kelley,Leroy Bolander
Hakuna Matata,Nathan Lane
When I Am Older,Josh Gad
"I Won't Say (I'm In Love) - From ""Hercules"" / Soundtrack Version",Susan Egan
"Love Is an Open Door - From ""Frozen""/Soundtrack Version",Kristen Bell
Speechless (Full),Naomi Scott
"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel
"He Mele No Lilo - From ""Lilo & Stitch""/Soundtrack Version",Mark Keali'i Ho'omalu
Into the Unknown - Panic! At The Disco Version,Panic! At The Disco
You're Welcome,Dwayne Johnson
Remember Me (Lullaby),Gael Garcia Bernal
Never Too Late,Elton John
I2I,Tevin Campbell
"Once Upon a Dream - From ""Maleficent"" / Pop Version",Mary Costa
When We're Human,Michael-Leon Wooley
"Hawaiian Roller Coaster Ride - From ""Lilo & Stitch""/Soundtrack Version",Mark Keali'i Ho'omalu
Dig a Little Deeper,Jenifer Lewis
"We're All In This Together - From ""High School Musical""/Soundtrack Version",High School Musical Cast
Try Everything,Shakira
Friend Like Me,Will Smith
Playing Games (with Bryson Tiller) - Extended Version,Summer Walker
Nights Like This (feat. Ty Dolla $ign),Kehlani
Exchange,Bryson Tiller
Love Me Like (feat. DUCKWRTH),Rayana Jay
"Yo Love - From ""Queen & Slim: The Soundtrack""",Vince Staples
Losin Control,Russ
Saved,Khalid
From Time,Drake
Her,Majid Jordan
You Can't Save Me,SiR
Honesty,Pink Sweat$
Missin You Crazy,Russ
Bacc Seat (feat. Ty Dolla $ign),Roddy Ricch
Blue Lights,Jorja Smith
Sure Thing,Miguel
Girls Need Love (with Drake) - Remix,Summer Walker
Streets,Doja Cat
Think About Me,dvsn
Take (feat. Ty Dolla $ign),Arin Ray
Die For You,The Weeknd
Thinkin Bout You,Frank Ocean
Poison,Rod Wave
Could've Been (feat. Bryson Tiller),H.E.R.
I Fall Apart,Post Malone
Don't,Bryson Tiller
Doing It Wrong,Drake
Best Part (feat. H.E.R.),Daniel Caesar
Pretty Little Fears (feat. J. Cole),6LACK
Easily,Bruno Major
Lonely (with Jonas Brothers),Diplo
Beautiful People (feat. Khalid),Ed Sheeran
"I Just Can't Wait to Be King - From ""The Lion King""/Soundtrack Version",JD McCrary
"I'll Make a Man Out of You - From ""Mulan""/Soundtrack",Donny Osmond
I Just Can't Wait to Be King,JD McCrary
"Touch The Sky - From ""Brave""/Soundtrack",Julie Fowlis
I Can't Let You Throw Yourself Away,Randy Newman
"Strangers Like Me - From ""Tarzan""/Soundtrack Version",Phil Collins
"Step In Time - From ""Mary Poppins""/Soundtrack Version",Dick Van Dyke
Here Comes Elastigirl - Elastigirl's Theme,Michael Giacchino
"A Girl Worth Fighting For - From ""Mulan""/Soundtrack",Lea Salonga
Intentions (feat. Quavo),Justin Bieber
Up All Night,Khalid
Tattoos Together,Lauv
Unbelievable,Why Don't We
Ready,Alessia Cara
"10,000 Hours (with Justin Bieber)",Dan + Shay
Call You Mine,The Chainsmokers
Never Seen The Rain,Tones And I
Watermelon Sugar,Harry Styles
What A Man Gotta Do,Jonas Brothers
Nobody,Martin Jensen
Nice To Meet Ya,Niall Horan
Midnight (feat. Liam Payne),Alesso
Post Malone (feat. RANI),Sam Feldt
Be Kind (with Halsey),Marshmello
Circles,Post Malone
Black And White,Niall Horan
I Love You's,Hailee Steinfeld
Know Your Worth,Khalid
Lights Up,Harry Styles
Never Really Over,Katy Perry
Graveyard,Halsey
Takeaway,The Chainsmokers
Good as Hell (feat. Ariana Grande) - Remix,Lizzo
Memories,Maroon 5
Free Spirit,Khalid
The Bones - with Hozier,Maren Morris
Don't Start Now,Dua Lipa
Body Back (feat. Maia Wright),Gryffin
Sixteen,Ellie Goulding
What A Man Gotta Do,Jonas Brothers
What I Like About You (feat. Theresa Rex),Jonas Blue
Sing It With Me,JP Cooper
I Don't Care (with Justin Bieber),Ed Sheeran
Never Seen The Rain,Tones And I
Never Really Over,Katy Perry
Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell
Younger,Jonas Blue
Rescue Me,OneRepublic
Harder (with Bebe Rexha),Jax Jones
No One Compares To You,Jack & Jack
Big Plans,Why Don't We
Polaroid,Jonas Blue
Family,The Chainsmokers
Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur
Only Human,Jonas Brothers
In Betweenin',AUSTN
Love You Better,Echosmith
Call You Mine,The Chainsmokers
Can We Pretend (feat. Cash Cash),P!nk
Ooh Girl (feat. A Boogie Wit da Hoodie),Kris Kross Amsterdam
Small Talk,Niall Horan
Higher Love,Kygo
"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",Bebe Rexha
Get To Know You,Tomo Nakayama
Don't Start Now,Dua Lipa
Perfect to Me,Anne-Marie
Let It Be Me (feat. Ava Max),David Guetta